"","name","SC0.IN0","SC0.IN1","SC1.IN0","SC1.IN1","pool","id","location_code","historic_name","latitude","longitude","water_depth","sensor_depth","rec_time","cycle_time","start_data","end_data","sampling_rate","institution_source","region","sum_bins","neg_perc_sc","accuracy","balanced_accuracy","f1","recall","precision","in_per_mooring_stats_pool"
"45","AW13_AU_CL01",71189,1174,1772,32041,"test",83,"CL01","AW13_AU_CL1",69.3159167,-167.6324833,48,45.2,80,300,2013-08-26 07:00:00,2014-09-25 03:20:00,16384,"AFSC",1,106176,68.1538200723327,0.972253616636528,0.965685179921393,0.95604821865489,0.947594120604501,0.964654523558633,1
"46","AW13_AU_IC01",69207,2605,338,33689,"test",84,"IC01","AW13_AU_IC1",70.8225833,-163.1384833,45,39.4,80,300,2013-08-28 07:00:00,2014-09-25 21:20:00,16384,"AFSC",2,105839,67.8502253422651,0.972193614830072,0.976895718700755,0.958149059313719,0.990066711728921,0.928225050972613,1
"47","AW13_AU_KZ01",71503,5701,1295,28069,"test",85,"KZ01","AW13_AU_KZ1",67.1232333,-168.6047667,42,44,80,300,2013-08-24 07:00:00,2014-09-24 14:20:00,16384,"AFSC",1,106568,72.4457623301554,0.934351775392238,0.941027527393674,0.889188076155479,0.955898378967443,0.831181522061001,1
"48","AW13_AU_NM01",66625,2561,779,36315,"test",86,"NM01","AW13_AU_NM1",64.8483667,-168.3905833,42,40.7,80,300,2013-08-22 07:00:00,2014-09-21 13:20:00,16384,"AFSC",1,106280,65.0978547233722,0.968573579224689,0.970991569869712,0.956035277083059,0.978999299078018,0.934123881057722,1
"49","AW13_AU_PB01",59689,2570,1056,42094,"test",87,"PB01","AW13_AU_PB1",71.2053,-158.0190667,49,42.7,80,300,2013-09-02 07:00:00,2014-09-29 10:20:00,16384,"AFSC",2,105409,59.0642165280005,0.965600660285175,0.967124029050922,0.958708178650329,0.975527230590962,0.942459251298585,1
"50","AW13_AU_PH01",50656,3653,2924,47039,"test",88,"PH01","AW13_AU_PH1",67.90745,-168.20265,55,53.7,80,300,2013-08-24 07:00:00,2014-09-16 01:20:00,16384,"AFSC",1,104272,52.0839726868191,0.93692458186282,0.937106719942394,0.934657990164423,0.941476692752637,0.927937347115916,1
"51","AW13_AU_WT01",67398,3450,728,37904,"test",90,"WT01","AW13_AU_WT1",71.0464,-160.5113,42,45.1,80,300,2013-08-29 07:00:00,2014-10-10 10:20:00,16384,"AFSC",2,109480,64.7131896236756,0.961837778589697,0.966229859641473,0.94776585902533,0.98115551874094,0.916573971078977,1
"52","AW14_AU_BF02",56874,1402,1683,33785,"test",92,"BF02","AW14_AU_BF2",71.75083,-154.4652,109,79,80,300,2014-10-01 07:00:00,2015-09-14 21:20:00,16384,"AFSC",2,93744,62.1650452295614,0.967091227171872,0.96424542256898,0.95633713113014,0.952548776361791,0.96015573933555,1
"54","AW14_AU_CL01",63460,1966,1391,29671,"test",98,"CL01","AW14_AU_CL1",69.31735,-167.62985,59,43.9,80,300,2014-09-26 07:00:00,2015-09-20 02:20:00,16384,"AFSC",1,96488,67.8073957383302,0.965208108780366,0.96258468957994,0.946458476211742,0.955218595067929,0.937857571830452,1
"55","AW14_AU_IC01",64276,3608,459,27865,"test",99,"IC01","AW14_AU_IC1",70.82272,-163.13928,50,39.9,80,300,2014-09-26 07:00:00,2015-09-19 01:20:00,16384,"AFSC",2,96208,70.5596208215533,0.95772700814901,0.965322585731971,0.931986554509424,0.983794661770936,0.885362056365774,1
"56","AW14_AU_KZ01",59094,1819,3332,32859,"test",100,"KZ01","AW14_AU_KZ1",67.12355,-168.60443,51,38.9,80,300,2014-09-25 07:00:00,2015-09-21 09:20:00,16384,"AFSC",1,97104,62.7296506838029,0.946953781512605,0.939035324463063,0.927316598230538,0.907932911497334,0.947545994578695,1
"57","AW14_AU_NM01",54397,862,1566,32551,"test",101,"NM01","AW14_AU_NM1",64.84863,-168.39007,48,39.5,80,300,2014-09-22 07:00:00,2015-08-20 15:20:00,16384,"AFSC",1,89376,61.827559971357,0.972833870390261,0.969249930284437,0.964045609358803,0.954099129466249,0.974201658037291,1
"58","AW14_AU_PB01",49709,2071,1644,40208,"test",102,"PB01","AW14_AU_PB1",71.20668,-158.01407,52,47.1,80,300,2014-10-01 07:00:00,2015-09-14 11:20:00,16384,"AFSC",2,93632,55.3016062884484,0.960323393711552,0.960361292807368,0.955842673925188,0.960718723119564,0.951015870763263,1
"59","AW14_AU_PH01",45939,2040,3322,47875,"test",103,"PH01","AW14_AU_PH1",67.90793,-168.20217,68,52.8,80,300,2014-09-17 07:00:00,2015-09-21 02:20:00,16384,"AFSC",1,99176,48.3776316850851,0.945934500282326,0.946297391830804,0.946969696969697,0.935113385549935,0.959130521887208,1
"60","AW14_AU_WT01",40422,2823,400,33338,"test",105,"WT01","AW14_AU_WT1",71.03725,-160.50607,50,45.8,80,300,2014-10-11 07:00:00,2015-09-14 01:20:00,16384,"AFSC",2,76983,56.1747398776353,0.95813361391476,0.961432354812987,0.953890613599622,0.988143932657538,0.921932468681729,1
"61","AW15_AU_BF02",65234,3141,716,27229,"test",106,"BF02","AW15_AU_BF2",71.749767,-154.46235,79,74.1,80,300,2015-09-16 07:00:00,2016-09-08 11:20:00,16384,"AFSC",2,96320,70.9873338870432,0.959956395348837,0.964220200099242,0.933859212895482,0.974378242977277,0.896575567994732,1
"63","AW15_AU_CL01",102391,2367,4567,41259,"test",111,"CL01","AW15_AU_CL1",69.317367,-167.622867,49,45.6,80,300,2015-09-20 06:14:00,2017-04-02 13:20:00,16384,"AFSC",1,150584,69.5678159698242,0.953952611167189,0.938872742509695,0.922483566605554,0.90034041810326,0.945743364048962,1
"64","AW15_AU_IC01",57966,3925,639,35022,"test",112,"IC01","AW15_AU_IC1",70.835533,-163.1092,42,38.7,80,300,2015-09-19 07:00:00,2016-09-16 01:20:00,16384,"AFSC",2,97552,63.444111858291,0.953214695752009,0.959331660398511,0.938826935449282,0.98208126524775,0.899222019667754,1
